,Comp_Name,Div_Rate,Div_Yield,Ex_Div,Industry,Price,Price2Book,QuickRatio,Sector,Ticker,Tot.Cash/Share,FCF
73,Sachem Capital Corp. (SACH),0.48,9.68,2021-04-09,REIT\xe2\x80\x94Mortgage,5.06,1.38,5.46,Real Estate,sach,0.87,9.48M
74,"ARMOUR Residential REIT, Inc. (ARR)",1.20,9.84,2021-05-14,REIT\xe2\x80\x94Mortgage,12.20,0.83,0.24,Real Estate,arr,6.93,-257.82M
75,"New York Mortgage Trust, Inc. (NYMT)",0.40,8.71,2021-03-24,REIT\xe2\x80\x94Mortgage,4.59,0.97,,Real Estate,nymt,0.77,110.55M
76,New Senior Investment Group Inc (SNR),0.26,3.90,2021-03-11,REIT\xe2\x80\x94Residential,6.63,2.71,1.10,Real Estate,snr,0.4,39.87M
77,Arbor Realty Trust (ABR),1.32,7.94,2021-03-02,REIT\xe2\x80\x94Mortgage,17.27,1.70,2.59,Real Estate,abr,2.77,55.16M
78,"Ross Stores, Inc. (ROST)",1.14,0.88,2021-03-15,Apparel Retail,128.82,13.96,1.25,Consumer Cyclical,rost,13.52,1.84B
79,Chimera Investment Corporation (CIM),1.20,9.43,2021-03-30,REIT\xe2\x80\x94Mortgage,12.72,0.78,2.37,Real Estate,cim,1.17,257.90M
80,Cracker Barrel Old Country Stor (CBRL),0,0,2020-08-13,Restaurants,170.62,6.65,1.46,Consumer Cyclical,cbrl,23.98,-136.33M
81,Microsoft Corporation (MSFT),2.24,0.87,2021-05-19,Software\xe2\x80\x94Infrastructure,261.15,15.13,2.36,Technology,msft,17.5,45.23B
82,"DCP Midstream,  LP (DCP)",1.56,6.98,2021-04-29,Oil & Gas Midstream,22.63,0.93,0.54,Energy,dcp,0.27,939.00M
83,Westrock Company (WRK),0.80,1.50,2021-02-10,Packaging & Containers,53.30,1.28,0.81,Consumer Cyclical,wrk,0.96,1.09B
84,"Applied Materials, Inc. (AMAT)",0.96,0.73,2021-05-26,0,0,620.77,0,0,amat,0,3.38B
85,Cummins Inc. (CMI),5.40,2.06,2021-02-18,Specialty Industrial Machinery,262.47,4.81,1.24,Industrials,cmi,26.16,2.15B
86,"Merck & Company, Inc. (MRK)",2.60,3.34,2021-03-12,Drug Manufacturers\xe2\x80\x94General,77.88,7.78,0.60,Healthcare,mrk,3.19,5.57B
87,Annaly Capital Management Inc (NLY),0.88,10.05,2021-03-30,REIT\xe2\x80\x94Mortgage,8.90,1.00,0.15,Real Estate,nly,0.2,-32.15B
88,Mobile TeleSystems PJSC (MBT),0.81,9.46,2020-10-08,Telecom Services,8.56,0.26,0.73,Communication Services,mbt,214.82,58.10B
