index,0,1
2021-01-28,0.06,psec
2020-12-30,0.06,psec
2020-11-27,0.06,psec
2020-10-29,0.06,psec
2020-09-29,0.06,psec
2020-08-28,0.06,psec
2020-07-30,0.06,psec
2020-06-29,0.06,psec
2020-05-28,0.06,psec
2020-04-29,0.06,psec
2020-03-30,0.06,psec
2020-02-27,0.06,psec
2020-01-30,0.06,psec
2019-12-31,0.06,psec
2019-11-27,0.06,psec
2019-10-30,0.06,psec
2019-09-27,0.06,psec
2019-08-29,0.06,psec
2019-07-30,0.06,psec
2019-06-27,0.06,psec
2019-05-30,0.06,psec
2019-04-29,0.06,psec
2019-03-28,0.06,psec
2019-02-27,0.06,psec
2019-01-30,0.06,psec
2018-12-31,0.06,psec
2018-11-29,0.06,psec
2018-10-30,0.06,psec
2018-09-27,0.06,psec
2018-08-30,0.06,psec
2018-07-30,0.06,psec
2018-06-28,0.06,psec
2018-05-30,0.06,psec
2018-04-27,0.06,psec
2018-03-28,0.06,psec
2018-02-27,0.06,psec
2018-01-30,0.06,psec
2017-12-28,0.06,psec
2017-11-29,0.06,psec
2017-10-30,0.06,psec
2017-09-28,0.06,psec
2017-08-29,0.083,psec
2017-07-27,0.083,psec
2017-06-28,0.083,psec
2017-05-26,0.083,psec
2017-04-26,0.083,psec
2017-03-29,0.083,psec
2017-02-24,0.083,psec
2017-01-27,0.083,psec
2016-12-28,0.083,psec
2016-11-28,0.083,psec
2016-10-27,0.083,psec
2016-09-28,0.083,psec
2016-08-29,0.083,psec
2016-07-27,0.083,psec
2016-06-28,0.083,psec
2016-05-26,0.083,psec
2016-04-27,0.083,psec
2016-03-29,0.083,psec
2016-02-25,0.083,psec
2016-01-27,0.083,psec
2015-12-29,0.083,psec
2015-11-25,0.083,psec
2015-10-28,0.083,psec
2015-09-28,0.083,psec
2015-08-27,0.083,psec
2015-07-29,0.083,psec
2015-06-26,0.083,psec
2015-05-27,0.083,psec
2015-04-28,0.083,psec
2015-03-27,0.083,psec
2015-02-25,0.083,psec
2015-01-28,0.111,psec
2014-12-29,0.111,psec
2014-11-25,0.111,psec
2014-10-29,0.111,psec
2014-09-26,0.111,psec
2014-08-27,0.111,psec
2014-07-29,0.11,psec
2014-06-26,0.11,psec
2014-05-28,0.11,psec
2014-04-28,0.11,psec
2014-03-27,0.11,psec
2014-02-26,0.11,psec
2014-01-29,0.11,psec
2013-12-27,0.11,psec
2013-11-26,0.11,psec
2013-10-29,0.11,psec
2013-09-26,0.11,psec
2013-08-28,0.11,psec
2013-07-29,0.11,psec
2013-06-26,0.11,psec
2013-05-29,0.11,psec
2013-04-26,0.11,psec
2021-06-14,0.68,cma
2021-03-12,0.68,cma
2020-12-14,0.68,cma
2020-09-14,0.68,cma
2020-06-12,0.68,cma
2020-03-12,0.68,cma
2019-12-12,0.67,cma
2019-09-12,0.67,cma
2019-06-13,0.67,cma
2019-03-14,0.67,cma
2018-12-13,0.6,cma
2018-09-13,0.6,cma
2018-06-14,0.34,cma
2018-03-14,0.3,cma
2017-12-14,0.3,cma
2017-09-14,0.3,cma
2017-06-13,0.26,cma
2017-03-13,0.23,cma
2016-12-13,0.23,cma
2016-09-13,0.23,cma
2016-06-13,0.22,cma
2016-03-11,0.21,cma
2015-12-11,0.21,cma
2015-09-11,0.21,cma
2015-06-11,0.21,cma
2015-03-11,0.2,cma
2014-12-11,0.2,cma
2014-09-11,0.2,cma
2014-06-11,0.2,cma
2014-03-12,0.19,cma
2013-12-11,0.17,cma
2013-09-11,0.17,cma
2013-06-12,0.17,cma
2013-03-13,0.17,cma
2021-06-29,0.33,cim
2021-03-30,0.3,cim
2020-12-29,0.3,cim
2020-09-28,0.3,cim
2020-06-19,0.3,cim
2020-03-30,0.5,cim
2019-12-30,0.5,cim
2019-09-26,0.5,cim
2019-06-27,0.5,cim
2019-03-28,0.5,cim
2018-12-28,0.5,cim
2018-09-27,0.5,cim
2018-06-28,0.5,cim
2018-03-28,0.5,cim
2017-12-28,0.5,cim
2017-09-27,0.5,cim
2017-06-28,0.5,cim
2017-03-29,0.5,cim
2016-12-28,0.5,cim
2016-09-28,0.48,cim
2016-06-28,0.48,cim
2016-03-29,0.48,cim
2016-03-15,0.5,cim
2015-12-29,0.48,cim
2015-09-28,0.48,cim
2015-06-26,0.48,cim
2015-03-27,0.48,cim
2014-12-29,0.45,cim
2014-09-26,0.45,cim
2014-06-26,0.45,cim
2014-03-27,0.45,cim
2014-01-06,1.0,cim
2013-12-27,0.45,cim
2013-10-02,0.45,cim
2013-06-27,0.45,cim
2013-03-27,0.45,cim
2021-05-27,0.4,khc
2021-03-11,0.4,khc
2020-11-25,0.4,khc
2020-08-27,0.4,khc
2020-05-28,0.4,khc
2020-03-12,0.4,khc
2019-11-14,0.4,khc
2019-08-20,0.4,khc
2019-05-30,0.4,khc
2019-03-07,0.4,khc
2018-11-15,0.625,khc
2018-08-16,0.625,khc
2018-05-17,0.625,khc
2018-03-08,0.625,khc
2017-11-16,0.625,khc
2017-08-16,0.625,khc
2017-05-17,0.6,khc
2017-03-01,0.6,khc
2016-11-30,0.6,khc
2016-08-24,0.6,khc
2016-05-25,0.575,khc
2016-03-16,0.575,khc
2015-12-21,0.575,khc
2015-11-12,0.575,khc
2015-07-23,0.55,khc
2021-06-11,0.39,fdus
2021-03-11,0.38,fdus
2020-12-03,0.34,fdus
2020-09-10,0.3,fdus
2020-06-11,0.3,fdus
2020-03-12,0.39,fdus
2019-12-05,0.43,fdus
2019-09-05,0.39,fdus
2019-06-06,0.39,fdus
2019-03-07,0.39,fdus
2018-12-06,0.43,fdus
2018-09-06,0.39,fdus
2018-06-07,0.39,fdus
2018-03-08,0.39,fdus
2017-12-19,0.43,fdus
2017-09-07,0.39,fdus
2017-06-07,0.39,fdus
2017-03-08,0.39,fdus
2016-11-30,0.43,fdus
2016-09-07,0.39,fdus
2016-06-08,0.39,fdus
2016-03-09,0.39,fdus
2015-12-02,0.39,fdus
2015-11-24,0.04,fdus
2015-09-15,0.39,fdus
2015-06-09,0.4,fdus
2015-03-10,0.38,fdus
2014-12-03,0.48,fdus
2014-09-10,0.38,fdus
2014-08-21,0.05,fdus
2014-07-23,0.05,fdus
2014-06-11,0.38,fdus
2014-03-19,0.38,fdus
2013-12-04,0.76,fdus
2013-09-10,0.42,fdus
2013-06-10,0.38,fdus
2013-03-12,0.38,fdus
2021-07-08,0.52,t
2021-04-08,0.52,t
2021-01-08,0.52,t
2020-10-08,0.52,t
2020-07-09,0.52,t
2020-04-08,0.52,t
2020-01-09,0.52,t
2019-10-09,0.51,t
2019-07-09,0.51,t
2019-04-09,0.51,t
2019-01-09,0.51,t
2018-10-09,0.5,t
2018-07-09,0.5,t
2018-04-09,0.5,t
2018-01-09,0.5,t
2017-10-06,0.49,t
2017-07-06,0.49,t
2017-04-06,0.49,t
2017-01-06,0.49,t
2016-10-05,0.48,t
2016-07-06,0.48,t
2016-04-06,0.48,t
2016-01-06,0.48,t
2015-10-07,0.47,t
2015-07-08,0.47,t
2015-04-08,0.47,t
2015-01-07,0.47,t
2014-10-08,0.46,t
2014-07-08,0.46,t
2014-04-08,0.46,t
2014-01-08,0.46,t
2013-10-08,0.45,t
2013-07-08,0.45,t
2013-04-08,0.45,t
2021-06-15,0.18,mcn
2021-03-15,0.18,mcn
2020-12-15,0.18,mcn
2020-09-15,0.18,mcn
2020-06-15,0.18,mcn
2020-03-16,0.18,mcn
2019-12-16,0.18,mcn
2019-09-17,0.18,mcn
2019-06-17,0.18,mcn
2019-03-14,0.18,mcn
2018-12-14,0.18,mcn
2018-09-17,0.18,mcn
2018-06-14,0.18,mcn
2018-03-14,0.18,mcn
2017-12-14,0.18,mcn
2017-09-14,0.18,mcn
2017-06-14,0.18,mcn
2017-03-15,0.18,mcn
2016-12-14,0.18,mcn
2016-09-14,0.18,mcn
2016-06-15,0.18,mcn
2016-03-15,0.18,mcn
2015-12-15,0.18,mcn
2015-09-15,0.18,mcn
2015-06-16,0.18,mcn
2015-03-17,0.18,mcn
2014-12-15,0.18,mcn
2014-09-15,0.18,mcn
2014-06-16,0.18,mcn
2014-03-17,0.18,mcn
2013-12-13,0.18,mcn
2013-09-16,0.18,mcn
2013-06-14,0.18,mcn
2013-03-15,0.18,mcn
2021-06-29,0.42,rc
2021-04-01,0.1,rc
2021-03-12,0.3,rc
2020-12-30,0.35,rc
2020-09-29,0.3,rc
2020-06-29,0.25,rc
2020-03-30,0.4,rc
2019-12-30,0.4,rc
2019-09-27,0.4,rc
2019-06-27,0.4,rc
2019-03-27,0.4,rc
2018-12-28,0.4,rc
2018-09-27,0.4,rc
2018-06-28,0.4,rc
2017-12-28,0.37,rc
2017-09-28,0.37,rc
2017-06-28,0.37,rc
2017-03-29,0.37,rc
2016-12-28,0.35,rc
2016-09-28,0.4,rc
2016-06-28,0.4,rc
2016-03-29,0.4,rc
2015-12-29,0.4,rc
2015-09-28,0.4,rc
2015-06-26,0.4,rc
2015-03-27,0.4,rc
2014-12-29,0.4,rc
2014-09-26,0.4,rc
2014-06-26,0.4,rc
2014-03-27,0.4,rc
2013-12-27,0.95,rc
2013-09-26,0.5,rc
2013-07-05,0.45,rc
2013-05-22,0.22,rc
2021-05-18,0.04,dht
2021-02-17,0.05,dht
2020-11-17,0.2,dht
2020-08-25,0.48,dht
2020-05-18,0.35,dht
2020-02-14,0.32,dht
2019-11-06,0.05,dht
2019-08-21,0.02,dht
2019-05-20,0.08,dht
2019-02-15,0.05,dht
2018-11-15,0.02,dht
2018-08-23,0.02,dht
2018-05-18,0.02,dht
2018-02-16,0.02,dht
2017-11-27,0.02,dht
2017-08-22,0.02,dht
2017-05-18,0.08,dht
2017-02-10,0.08,dht
2016-11-14,0.02,dht
2016-08-22,0.23,dht
2016-05-12,0.25,dht
2016-02-11,0.21,dht
2015-11-13,0.18,dht
2015-08-10,0.15,dht
2015-05-11,0.15,dht
2015-02-06,0.05,dht
2014-11-18,0.02,dht
2014-09-05,0.02,dht
2014-05-12,0.02,dht
2014-02-04,0.02,dht
2013-11-08,0.02,dht
2013-08-15,0.02,dht
2013-05-10,0.02,dht
2013-02-07,0.02,dht
2021-06-29,0.22,nly
2021-03-30,0.22,nly
2020-12-30,0.22,nly
2020-09-29,0.22,nly
2020-06-29,0.22,nly
2020-03-30,0.25,nly
2019-12-30,0.25,nly
2019-09-27,0.25,nly
2019-06-27,0.25,nly
2019-03-28,0.3,nly
2018-12-28,0.3,nly
2018-09-27,0.078,nly
2018-09-05,0.222,nly
2018-06-28,0.3,nly
2018-03-28,0.3,nly
2017-12-28,0.3,nly
2017-09-28,0.3,nly
2017-06-28,0.3,nly
2017-03-29,0.3,nly
2016-12-28,0.3,nly
2016-09-28,0.264,nly
2016-07-07,0.036,nly
2016-06-28,0.3,nly
2016-03-29,0.3,nly
